tags.mlflow.runName,params.n_estimators,params.max_depth,params.min_samples_leaf,params.max_features,metrics.val_roc_auc,metrics.test_roc_auc,metrics.cost_thb,metrics.duration_s
trial-6,100,4,10,log2,0.844361553014346,0.8529020648225947,0.0010042378306388854,0.44632792472839355
trial-5,100,4,10,sqrt,0.844361553014346,0.8529020648225947,0.001021776795387268,0.45412302017211914
remote-20260101,100,6,5,,0.8433658346035126,0.8493030148659287,,
trial-4,100,4,5,log2,0.84259989736441,0.8532857870606215,0.0010461097955703736,0.464937686920166
trial-3,100,4,5,sqrt,0.84259989736441,0.8532857870606215,0.001126492917537689,0.5006635189056396
trial-1,100,4,1,sqrt,0.8424390505441984,0.8518038253137591,0.0024280477166175843,1.079132318496704
trial-2,100,4,1,log2,0.8424390505441984,0.8518038253137591,0.001131439983844757,0.5028622150421143
trial-3,300,4,10,log2,0.8422399068620317,0.8540730792386422,0.000715250676870346,1.0596306324005127
trial-3-0349,300,4,10,log2,0.8422399068620317,0.8540730792386422,0.0007388152241706847,1.094541072845459
trial-8-0189,300,4,1,log2,0.8403710199986213,0.8536827410999597,0.0007383382201194763,1.093834400177002
trial-8,300,4,1,log2,0.8403710199986213,0.8536827410999597,0.0007839107751846312,1.1613492965698242
trial-11,100,8,10,sqrt,0.8401642169440635,0.8483437092708616,0.0011112788915634154,0.49390172958374023
trial-12,100,8,10,log2,0.8401642169440635,0.8483437092708616,0.0010391618013381957,0.4618496894836426
trial-9,100,8,5,sqrt,0.8396969952282112,0.84655741609384,0.001278537154197693,0.5682387351989746
trial-10,100,8,5,log2,0.8396969952282112,0.84655741609384,0.0009974716901779174,0.44332075119018555
trial-12,200,8,5,sqrt,0.8363728276105056,0.8482378548603715,0.0005176620483398436,0.76690673828125
trial-12-6869,200,8,5,sqrt,0.8363728276105056,0.8482378548603715,0.0005581707000732421,0.8269195556640625
trial-6,200,8,5,log2,0.8363728276105056,0.8482378548603715,0.0005758616924285889,0.8531284332275391
trial-6-5875,200,8,5,log2,0.8363728276105056,0.8482378548603715,0.0006069516062736511,0.8991875648498535
trial-9-8970,200,12,5,log2,0.8352086030070696,0.8423728589291504,0.0005365540802478789,0.7948949337005615
trial-9,200,12,5,log2,0.8352086030070696,0.8423728589291504,0.0004917726695537566,0.7285521030426025
trial-11,300,8,1,sqrt,0.8337763003699477,0.8478475167216888,0.0007908743262290954,1.1716656684875488
trial-11-2503,300,8,1,sqrt,0.8337763003699477,0.8478475167216888,0.0007566333532333374,1.1209383010864258
trial-5,100,12,5,log2,0.8321678321678322,0.8417344245158815,0.0003364434778690338,0.49843478202819824
trial-5-4018,100,12,5,log2,0.8321678321678322,0.8417344245158815,0.0003403668522834778,0.5042471885681152
trial-1-3616,200,8,1,log2,0.8318155010378451,0.8482841661649609,0.001024274307489395,1.5174434185028076
trial-1,200,8,1,log2,0.8318155010378451,0.8482841661649609,0.0009592358350753783,1.4210901260375977
trial-7,100,8,1,sqrt,0.8311874325017808,0.8487605110121668,0.0010282012224197387,0.45697832107543945
trial-8,100,8,1,log2,0.8311874325017808,0.8487605110121668,0.0010440101623535156,0.4640045166015625
trial-10-5967,100,12,1,sqrt,0.8268292496112868,0.8414830202909673,0.00033472182154655454,0.4958841800689697
trial-7-7432,100,12,1,log2,0.8268292496112868,0.8414830202909673,0.00033573296070098875,0.49738216400146484
trial-10,100,12,1,sqrt,0.8268292496112868,0.8414830202909673,0.00032314530014991756,0.47873377799987793
trial-7,100,12,1,log2,0.8268292496112868,0.8414830202909673,0.0003071896433830261,0.4550957679748535
trial-2-7961,200,12,1,log2,0.8266760621634663,0.838108910956593,0.0005544074535369872,0.8213443756103516
trial-2,200,12,1,log2,0.8266760621634663,0.838108910956593,0.0005529709696769714,0.819216251373291
trial-4,300,12,1,sqrt,0.8264615997365176,0.8373613141825063,0.0008564704298973083,1.2688450813293457
trial-4-3594,300,12,1,sqrt,0.8264615997365176,0.8373613141825063,0.0007506175339221954,1.1120259761810303
